Date,Series,Value
2017-11-12 00:00:00,Volume Intensity,0.1261
2017-11-13 00:00:00,Volume Intensity,0.2782
2017-11-14 00:00:00,Volume Intensity,0.2064
2017-11-15 00:00:00,Volume Intensity,0.2073
2017-11-16 00:00:00,Volume Intensity,0.2026
2017-11-17 00:00:00,Volume Intensity,0.2307
2017-11-18 00:00:00,Volume Intensity,0.1163
2017-11-19 00:00:00,Volume Intensity,0.1351
2017-11-20 00:00:00,Volume Intensity,0.2456
2017-11-21 00:00:00,Volume Intensity,0.3339
2017-11-22 00:00:00,Volume Intensity,0.2688
2017-11-23 00:00:00,Volume Intensity,0.1848
2017-11-24 00:00:00,Volume Intensity,0.1447
2017-11-25 00:00:00,Volume Intensity,0.1272
2017-11-26 00:00:00,Volume Intensity,0.2313
2017-11-27 00:00:00,Volume Intensity,0.5461
2017-11-28 00:00:00,Volume Intensity,0.4326
2017-11-29 00:00:00,Volume Intensity,0.6851
2017-11-30 00:00:00,Volume Intensity,0.5476
2017-12-03 00:00:00,Volume Intensity,0.4273
2017-12-04 00:00:00,Volume Intensity,0.6896
2017-12-05 00:00:00,Volume Intensity,0.4252
2017-12-06 00:00:00,Volume Intensity,0.5627
2017-12-07 00:00:00,Volume Intensity,0.9628
2017-12-08 00:00:00,Volume Intensity,0.8915
2017-12-09 00:00:00,Volume Intensity,0.5564
2017-12-10 00:00:00,Volume Intensity,0.6049
2017-12-11 00:00:00,Volume Intensity,1.2053
2017-12-12 00:00:00,Volume Intensity,0.7643
2017-12-13 00:00:00,Volume Intensity,0.8882
2017-12-14 00:00:00,Volume Intensity,0.6058
2017-12-15 00:00:00,Volume Intensity,0.8437
2017-12-16 00:00:00,Volume Intensity,0.5698
2017-12-17 00:00:00,Volume Intensity,0.5062
2017-12-18 00:00:00,Volume Intensity,0.7350
2017-12-19 00:00:00,Volume Intensity,0.7466
2017-12-20 00:00:00,Volume Intensity,0.8632
2017-12-21 00:00:00,Volume Intensity,0.6903
2017-12-22 00:00:00,Volume Intensity,1.0886
